,Nationality Country,Age_mean,Age_min,Age_max,Overall_mean,Overall_min,Overall_max,Potential_mean,Potential_min,Potential_max,International Reputation_mean,International Reputation_min,International Reputation_max,Wage_mean,Wage_min,Wage_max,Value_mean,Value_min,Value_max,Release Clause_mean,Release Clause_min,Release Clause_max,Lat,Lng
0,Afghanistan,22.5,20,26,61.0,59,63,67.75,64,71,1.0,1.0,1.0,1250.0,1000.0,2000.0,342500.0,220000.0,450000.0,617250.0,374000.0,878000.0,34.75543863636363,67.48848181818181
1,Albania,24.025,18,34,65.925,52,81,71.7,62,86,1.1025641025641026,1.0,2.0,7100.0,1000.0,58000.0,1920250.0,80000.0,20000000.0,3621783.7837837837,116000.0,35500000.0,41.13724000000001,19.950259999999986
2,Algeria,27.05,19,35,70.63333333333334,58,85,72.98333333333333,62,85,1.3,1.0,3.0,18083.333333333332,1000.0,205000.0,4670916.666666667,160000.0,40500000.0,8768946.42857143,259000.0,78000000.0,33.19964193548389,3.345491935483866
3,Andorra,28.0,28,28,62.0,62,62,64.0,64,64,1.0,1.0,1.0,1000.0,1000.0,1000.0,290000.0,290000.0,290000.0,384000.0,384000.0,384000.0,42.52242857142857,1.5349285714285714
4,Angola,25.866666666666667,19,34,67.6,60,78,71.53333333333333,64,82,1.1333333333333333,1.0,2.0,7666.666666666667,1000.0,44000.0,2018333.3333333333,325000.0,10000000.0,3475846.153846154,463000.0,17800000.0,-11.636753061224484,16.21947346938776
5,Antigua & Barbuda,22.75,20,27,62.5,58,69,67.75,63,77,1.0,1.0,1.0,2500.0,1000.0,6000.0,535000.0,160000.0,1300000.0,1080750.0,312000.0,2800000.0,17.1211,-61.8447
6,Argentina,26.2059765208111,16,41,68.57203842049093,51,94,73.21024546424759,57,94,1.1335470085470085,1.0,5.0,11502.668089647812,0.0,565000.0,3077011.73959445,0.0,110500000.0,5437262.905162065,29000.0,226500000.0,-34.30501976284636,-62.60579525691718
7,Armenia,26.8,22,32,69.0,63,83,71.8,66,83,1.3,1.0,3.0,22000.0,1000.0,145000.0,3717500.0,475000.0,25500000.0,6780444.444444444,736000.0,48500000.0,40.35441333333334,44.920543333333335
8,Australia,24.406779661016948,16,37,62.652542372881356,50,79,68.36016949152543,56,83,1.0127118644067796,1.0,2.0,3351.6949152542375,0.0,46000.0,736970.3389830509,0.0,10500000.0,1151513.392857143,38000.0,20700000.0,-30.958919667589928,142.87775595567922
9,Austria,24.654362416107382,16,37,64.91610738255034,48,85,69.84563758389261,58,87,1.0675675675675675,1.0,4.0,7667.785234899329,1000.0,120000.0,1608657.7181208055,60000.0,38000000.0,2752972.027972028,87000.0,65599999.99999999,47.76374925373106,14.648239552238893
10,Azerbaijan,26.0,19,32,63.0,54,67,66.8,62,71,1.0,1.0,1.0,2200.0,1000.0,4000.0,519000.0,150000.0,825000.0,827600.0,213000.0,1400000.0,40.22720853658537,47.55426951219511
11,Barbados,27.666666666666668,24,31,63.333333333333336,60,66,65.0,64,66,1.0,1.0,1.0,3666.6666666666665,2000.0,6000.0,401666.6666666667,280000.0,525000.0,710000.0,511000.0,919000.0,13.097500000000002,-59.6167
12,Belarus,28.75,26,31,70.25,67,75,71.0,69,75,1.25,1.0,2.0,8000.0,3000.0,12000.0,2443750.0,700000.0,6500000.0,4875000.0,1200000.0,13700000.0,53.507750561797764,27.81000337078652
13,Belgium,24.334615384615386,16,39,68.81153846153846,53,91,74.38846153846154,62,92,1.22007722007722,1.0,4.0,18480.76923076923,1000.0,355000.0,4699673.076923077,60000.0,102000000.0,8981428.57142857,87000.0,196400000.0,50.69471428571398,4.416037662337659
14,Belize,25.0,25,25,60.0,60,60,61.0,61,61,1.0,1.0,1.0,1000.0,1000.0,1000.0,250000.0,250000.0,250000.0,394000.0,394000.0,394000.0,17.4213125,-88.49522499999999
15,Benin,26.066666666666666,22,33,67.46666666666667,59,75,70.66666666666667,65,82,1.0,1.0,1.0,8666.666666666666,1000.0,40000.0,1646333.3333333333,220000.0,9500000.0,3233733.3333333335,363000.0,20000000.0,7.926953846153848,2.1897923076923074
16,Bermuda,27.5,27,28,66.5,63,70,66.5,63,70,1.0,1.0,1.0,16500.0,3000.0,30000.0,1087500.0,375000.0,1800000.0,656000.0,656000.0,656000.0,32.2942,-64.7839
17,Bolivia,25.533333333333335,18,37,65.66666666666667,49,74,69.96666666666667,66,78,1.0333333333333334,1.0,2.0,833.3333333333334,0.0,9000.0,299000.0,0.0,6500000.0,2574000.0,165000.0,11500000.0,-17.433516049382714,-65.26760493827163
18,Bosnia & Herzegovina,26.0,19,33,68.63934426229508,57,86,72.34426229508196,61,86,1.2131147540983607,1.0,3.0,14868.852459016394,1000.0,180000.0,3682377.049180328,120000.0,44000000.0,6462614.03508772,174000.0,72600000.0,44.25184062500007,17.776512499999995
19,Botswana,20.0,20,20,56.0,56,56,68.0,68,68,1.0,1.0,1.0,1000.0,1000.0,1000.0,160000.0,160000.0,160000.0,312000.0,312000.0,312000.0,-22.345332000000003,24.912388
20,Brazil,27.62515114873035,17,40,71.2515114873035,48,92,73.35187424425635,59,93,1.1636363636363636,1.0,5.0,17778.718258766625,1000.0,340000.0,4602629.987908102,0.0,118500000.0,8899398.47715736,147000.0,228100000.0,-18.88696421319774,-47.96536230964501
21,Bulgaria,26.84375,21,35,64.875,56,76,67.40625,57,77,1.0625,1.0,2.0,1000.0,0.0,8000.0,699218.75,0.0,7500000.0,3320333.3333333335,176000.0,15800000.0,42.70888270676688,25.21367819548871
22,Burkina Faso,25.125,19,32,68.5625,61,78,73.125,64,84,1.25,1.0,3.0,12062.5,2000.0,57000.0,2887500.0,350000.0,14000000.0,5445812.5,531000.0,27700000.0,12.266390624999994,-1.7249062499999999
23,Burundi,23.333333333333332,18,28,62.333333333333336,51,71,69.33333333333333,65,76,1.3333333333333333,1.0,2.0,10666.666666666666,1000.0,25000.0,1268333.3333333333,80000.0,3200000.0,2438666.6666666665,150000.0,6300000.0,-3.3234473684210535,29.77298947368421
24,Cameroon,24.555555555555557,18,34,67.9888888888889,55,80,73.0111111111111,63,85,1.2222222222222223,1.0,3.0,10966.666666666666,0.0,99000.0,2636111.111111111,0.0,18000000.0,5000400.0,264000.0,37400000.0,5.829438235294109,11.68351470588234
25,Canada,24.25,17,38,62.9375,47,75,69.21875,57,87,1.015625,1.0,2.0,3812.5,0.0,44000.0,925937.5,0.0,9500000.0,1857741.3793103448,13000.0,20000000.0,46.99022864000005,-85.7068948799998
