,Nationality Country,Age_mean,Age_min,Age_max,Height_mean,Height_min,Height_max,Weight_mean,Weight_min,Weight_max,Overall_mean,Overall_min,Overall_max,Potential_mean,Potential_min,Potential_max,International Reputation_mean,International Reputation_min,International Reputation_max,Wage_mean,Wage_min,Wage_max,Value_mean,Value_min,Value_max,Release Clause_mean,Release Clause_min,Release Clause_max,Latitude,Longitude
0,Afghanistan,22.5,20,26,68.75,68.0,70.0,149.25,143.0,152.0,61.0,59,63,67.75,64,71,1.0,1.0,1.0,1250.0,1000.0,2000.0,342500.0,220000.0,450000.0,617250.0,374000.0,878000.0,33.93911,67.709953
1,Albania,24.025,18,34,71.41025641025641,67.0,77.0,164.3846153846154,137.0,196.0,65.925,52,81,71.7,62,86,1.1025641025641026,1.0,2.0,7100.0,1000.0,58000.0,1920250.0,80000.0,20000000.0,3621783.7837837837,116000.0,35500000.0,41.15333200000003,20.168330999999995
2,Algeria,27.05,19,35,71.36666666666666,66.0,77.0,167.25,132.0,207.0,70.63333333333334,58,85,72.98333333333333,62,85,1.3,1.0,3.0,18083.333333333332,1000.0,205000.0,4670916.666666667,160000.0,40500000.0,8768946.42857143,259000.0,78000000.0,28.033885999999992,1.6596260000000018
3,Andorra,28.0,28,28,72.0,72.0,72.0,174.0,174.0,174.0,62.0,62,62,64.0,64,64,1.0,1.0,1.0,1000.0,1000.0,1000.0,290000.0,290000.0,290000.0,384000.0,384000.0,384000.0,42.546245,1.6015540000000001
4,Angola,25.866666666666667,19,34,70.53333333333333,67.0,74.0,166.53333333333333,143.0,192.0,67.6,60,78,71.53333333333333,64,82,1.1333333333333333,1.0,2.0,7666.666666666667,1000.0,44000.0,2018333.3333333333,325000.0,10000000.0,3475846.153846154,463000.0,17800000.0,-11.202692000000003,17.873887
5,Antigua and Barbuda,22.75,20,27,70.0,69.0,71.0,164.75,161.0,168.0,62.5,58,69,67.75,63,77,1.0,1.0,1.0,2500.0,1000.0,6000.0,535000.0,160000.0,1300000.0,1080750.0,312000.0,2800000.0,17.060816,-61.796428000000006
6,Argentina,26.2059765208111,16,41,70.42628205128206,61.0,78.0,165.6655982905983,123.0,218.0,68.57203842049093,51,94,73.21024546424759,57,94,1.1335470085470085,1.0,5.0,11502.668089647812,0.0,565000.0,3077011.73959445,0.0,110500000.0,5437262.905162065,29000.0,226500000.0,-38.41609700000051,-63.616671999998466
7,Armenia,26.8,22,32,70.7,69.0,73.0,166.7,154.0,181.0,69.0,63,83,71.8,66,83,1.3,1.0,3.0,22000.0,1000.0,145000.0,3717500.0,475000.0,25500000.0,6780444.444444444,736000.0,48500000.0,40.069099,45.038188999999996
8,Australia,24.406779661016948,16,37,71.35593220338983,65.0,78.0,166.45338983050848,123.0,218.0,62.652542372881356,50,79,68.36016949152543,56,83,1.0127118644067796,1.0,2.0,3351.6949152542375,0.0,46000.0,736970.3389830509,0.0,10500000.0,1151513.392857143,38000.0,20700000.0,-25.274397999999877,133.77513600000017
9,Austria,24.654362416107382,16,37,71.92567567567568,65.0,77.0,168.42567567567568,132.0,216.0,64.91610738255034,48,85,69.84563758389261,58,87,1.0675675675675675,1.0,4.0,7667.785234899329,1000.0,120000.0,1608657.7181208055,60000.0,38000000.0,2752972.027972028,87000.0,65599999.99999999,47.516230999999735,14.550072
10,Azerbaijan,26.0,19,32,72.8,71.0,75.0,171.4,161.0,185.0,63.0,54,67,66.8,62,71,1.0,1.0,1.0,2200.0,1000.0,4000.0,519000.0,150000.0,825000.0,827600.0,213000.0,1400000.0,40.143105,47.576927000000005
11,Barbados,27.666666666666668,24,31,72.0,70.0,74.0,182.33333333333334,168.0,209.0,63.333333333333336,60,66,65.0,64,66,1.0,1.0,1.0,3666.6666666666665,2000.0,6000.0,401666.6666666667,280000.0,525000.0,710000.0,511000.0,919000.0,13.193886999999998,-59.543198
12,Belarus,28.75,26,31,72.75,71.0,74.0,171.25,163.0,185.0,70.25,67,75,71.0,69,75,1.25,1.0,2.0,8000.0,3000.0,12000.0,2443750.0,700000.0,6500000.0,4875000.0,1200000.0,13700000.0,53.709807,27.953389
13,Belgium,24.334615384615386,16,39,71.77606177606178,65.0,78.0,168.40540540540542,121.0,218.0,68.81153846153846,53,91,74.38846153846154,62,92,1.22007722007722,1.0,4.0,18480.76923076923,1000.0,355000.0,4699673.076923077,60000.0,102000000.0,8981428.57142857,87000.0,196400000.0,50.50388700000022,4.469935999999982
14,Belize,25.0,25,25,71.0,71.0,71.0,181.0,181.0,181.0,60.0,60,60,61.0,61,61,1.0,1.0,1.0,1000.0,1000.0,1000.0,250000.0,250000.0,250000.0,394000.0,394000.0,394000.0,17.189877,-88.49765
15,Benin,26.066666666666666,22,33,72.86666666666666,69.0,77.0,175.06666666666666,157.0,229.0,67.46666666666667,59,75,70.66666666666667,65,82,1.0,1.0,1.0,8666.666666666666,1000.0,40000.0,1646333.3333333333,220000.0,9500000.0,3233733.3333333335,363000.0,20000000.0,9.30769,2.315834
16,Bermuda,27.5,27,28,68.0,67.0,69.0,165.5,152.0,179.0,66.5,63,70,66.5,63,70,1.0,1.0,1.0,16500.0,3000.0,30000.0,1087500.0,375000.0,1800000.0,656000.0,656000.0,656000.0,32.321384,-64.75737
